no;district;year;agri_year;GDVA_agri_crore;HYV_area_000ha;Rainfall_mm;Temp_C;MCDS_days;Pesticide_MT;NPK_MT;Irrigation_pct;VarCost_Rs;KVK_intensity;KVK_expd;ExtWorker_per1000;PACS_count;APMC_yards;Road_density;AvgHolding_ha;SmallFarmer_share;CropIntensity;Herfindahl;Rainfed_share;FarmIncome_Rs000;ln_GDVA;ln_HYV;ln_Rainfall;TempAnomaly;RainAnomaly;dist_id
117;Gondia;2020;2020-21;2620;198.4;1480;26.1;6;278;69500;0.402;42100;18;16.5;1.24;218;6;0.88;0.88;0.875;1.5;0.698;0.524;NA;7.870929597;5.290285195;7.299797367;-0.46;0.979293824;12
118;Gondia;2021;2021-22;2710;199.1;1390;26.4;8;270;68800;0.398;45100;25;20;1.18;218;6;0.9;0.86;0.879;1.49;0.701;0.531;NA;7.904703914;5.293807211;7.237059026;-0.16;0.527312059;12
119;Gondia;2022;2022-23;2850;201.5;1310;26.5;7;252;70600;0.409;47900;51;21.9;1.55;219;6;0.94;0.85;0.883;1.53;0.692;0.502;NA;7.955074273;5.305789381;7.177782416;-0.06;0.12555049;12
120;Gondia;2023;2023-24;2940;202.2;1110;26.7;14;258;71500;0.412;50600;55;23.3;1.49;220;6;0.98;0.83;0.887;1.44;0.708;0.564;NA;7.98616486;5.309257307;7.012115294;0.14;-0.878853432;12
121;Hingoli;2014;2014-15;1820;165.1;680;26.6;21;210;56200;0.114;28900;42;16.8;0.89;185;5;0.58;2.14;0.542;1.22;0.354;0.805;64.2;7.50659178;5.106551351;6.522092798;-0.26;-0.444722516;13
122;Hingoli;2015;2015-16;1410;142.3;480;26.9;30;175;48100;0.089;27200;54;18.5;0.85;185;5;0.59;2.11;0.548;1.15;0.362;0.846;51.5;7.251344983;4.957937505;6.173786104;0.04;-1.615044925;13
123;Hingoli;2016;2016-17;2390;186.4;860;27.4;14;260;62400;0.132;32100;45;19.2;0.82;184;5;0.61;2.09;0.554;1.26;0.348;0.784;72.1;7.779048645;5.227894902;6.756932389;0.54;0.608567653;13
124;Hingoli;2017;2017-18;2280;161.7;750;26.7;18;245;58900;0.125;33800;49;20.2;1.01;184;5;0.64;2.05;0.56;1.25;0.342;0.79;75;7.731930722;5.085742767;6.620073207;-0.16;-0.035109672;13
125;Hingoli;2018;2018-19;2540;180.2;580;27;22;258;61800;0.134;36200;54;21.4;0.97;182;5;0.66;2.02;0.566;1.18;0.356;0.832;76.1;7.83991936;5.194067345;6.363028104;0.14;-1.029883721;13
126;Hingoli;2019;2019-20;2340;183.4;1020;27.1;10;266;62900;0.139;38500;59;22.6;0.94;181;5;0.68;1.99;0.571;1.29;0.335;0.752;84.8;7.757906208;5.21166956;6.927557906;0.24;1.544825581;13
127;Hingoli;2020;2020-21;2580;191.6;920;26.4;12;284;67400;0.151;41200;22;19.4;0.81;180;5;0.7;1.96;0.577;1.28;0.338;0.764;88.5;7.855544678;5.255409866;6.82437367;-0.46;0.959664376;13
128;Hingoli;2021;2021-22;2680;186.5;860;26.7;16;272;64100;0.144;44100;31;23.5;0.76;180;5;0.72;1.93;0.582;1.27;0.342;0.771;93.2;7.893572074;5.228431239;6.756932389;-0.16;0.608567653;13
129;Hingoli;2022;2022-23;2810;195.1;820;26.8;14;254;68200;0.156;46900;62;25.7;1.05;180;5;0.75;1.91;0.588;1.31;0.332;0.74;102.1;7.940939762;5.273512248;6.70930434;-0.06;0.374503171;13
130;Hingoli;2023;2023-24;2900;190.4;590;27;26;261;69400;0.15;49500;70;27.4;1;181;5;0.78;1.88;0.593;1.2;0.351;0.816;82.1;7.972466016;5.249127122;6.380122537;0.14;-0.9713676;13
131;Jalgaon;2014;2014-15;6840;418.6;620;27.2;21;820;215600;0.264;56200;62;28.6;0.78;985;13;0.92;1.31;0.772;1.24;0.442;0.746;92.1;8.830543011;6.03691581;6.429719478;-0.26;-0.635388611;14
132;Jalgaon;2015;2015-16;5880;391.2;480;27.5;32;740;196400;0.235;58400;71;30.5;0.75;982;13;0.94;1.29;0.776;1.18;0.448;0.774;82.4;8.679312041;5.969218938;6.173786104;0.04;-1.591887595;14
133;Jalgaon;2016;2016-17;8450;449.3;790;27.9;15;945;228100;0.281;62900;65;32.1;0.72;980;13;0.96;1.28;0.781;1.26;0.438;0.731;101.2;9.04192172;6.107690816;6.672032945;0.44;0.526074441;14
134;Jalgaon;2017;2017-18;8290;422.7;690;27.3;19;960;222400;0.274;66800;70;33.8;0.89;978;13;1;1.25;0.786;1.25;0.432;0.735;105.4;9.022805248;6.046662708;6.536691598;-0.16;-0.157139119;14
135;Jalgaon;2018;2018-19;9140;445.8;560;27.6;23;992;231200;0.289;71200;76;35.7;0.86;975;13;1.04;1.23;0.791;1.19;0.445;0.762;107.8;9.120415664;6.099870421;6.327936784;0.14;-1.045316747;14
136;Jalgaon;2019;2019-20;8720;450.2;950;27.7;11;1020;235400;0.295;75400;81;37.6;0.82;972;13;1.07;1.21;0.795;1.3;0.428;0.704;118.2;9.073374517;6.109691928;6.856461985;0.24;1.619216137;14
137;Jalgaon;2020;2020-21;9280;459.6;860;27.1;13;1085;248100;0.312;80100;34;32.1;0.7;970;13;1.1;1.19;0.8;1.28;0.43;0.715;123.5;9.135616826;6.130356546;6.756932389;-0.36;1.004323933;14
138;Jalgaon;2021;2021-22;9610;463.1;810;27.3;17;1045;241200;0.304;86200;48;39.2;0.65;970;13;1.13;1.17;0.804;1.26;0.434;0.724;130.2;9.170559502;6.137943013;6.697034248;-0.16;0.662717153;14
139;Jalgaon;2022;2022-23;10080;470.4;760;27.4;15;974;251600;0.318;91400;85;42.8;0.92;971;13;1.18;1.16;0.809;1.31;0.425;0.695;142.1;9.218308542;6.153583397;6.633318433;-0.06;0.321110373;14
140;Jalgaon;2023;2023-24;10390;475.8;610;27.6;27;1002;254900;0.321;96800;92;45.5;0.88;973;13;1.22;1.14;0.813;1.2;0.441;0.768;121.5;9.248599084;6.164997598;6.413458957;0.14;-0.703709967;14
141;Jalna;2014;2014-15;2750;272.5;540;26.5;24;390;88200;0.132;34500;56;24.8;0.84;455;7;0.71;1.95;0.594;1.2;0.385;0.812;70.2;7.919356191;5.607638614;6.29156914;-0.26;-0.500870323;15
142;Jalna;2015;2015-16;2110;215.4;360;26.8;35;295;71400;0.101;32100;72;27.2;0.8;455;7;0.72;1.92;0.6;1.11;0.394;0.864;55.4;7.654443226;5.372496765;5.886104031;0.04;-1.627828549;15
143;Jalna;2016;2016-17;3740;310.6;710;27.3;17;480;97400;0.154;38200;59;28;0.77;452;7;0.74;1.9;0.605;1.24;0.378;0.792;78.4;8.22684089;5.738505911;6.56526497;0.54;0.563479113;15
144;Jalna;2017;2017-18;3550;265.2;610;26.6;22;462;91200;0.142;40600;65;29.5;0.95;450;7;0.77;1.87;0.611;1.21;0.372;0.798;81.6;8.174702882;5.580484258;6.413458957;-0.16;-0.06260879;15
145;Jalna;2018;2018-19;4020;290.4;440;26.9;27;490;96500;0.153;43100;71;31.2;0.91;448;7;0.8;1.84;0.617;1.12;0.388;0.848;82.8;8.299037182;5.671259283;6.086774727;0.14;-1.126958226;15
146;Jalna;2019;2019-20;3680;295.6;860;27;13;505;98100;0.159;45800;77;32.9;0.87;446;7;0.82;1.81;0.622;1.28;0.362;0.758;92.4;8.210668031;5.689007189;6.756932389;0.24;1.502610968;15
147;Jalna;2020;2020-21;4080;310.2;780;26.3;15;538;105400;0.172;48900;30;28.2;0.75;444;7;0.84;1.79;0.628;1.25;0.365;0.77;96.2;8.313852267;5.737217251;6.65929392;-0.46;1.001740645;15
148;Jalna;2021;2021-22;4220;302.4;720;26.6;19;516;100200;0.164;52600;42;34.2;0.7;444;7;0.86;1.76;0.633;1.23;0.369;0.778;101.5;8.347590407;5.711750644;6.579251212;-0.16;0.626087903;15
149;Jalna;2022;2022-23;4430;316.8;690;26.7;17;482;106100;0.178;55900;81;37.4;0.98;445;7;0.9;1.74;0.639;1.29;0.358;0.742;111;8.396154863;5.75827066;6.536691598;-0.06;0.438261532;15
150;Jalna;2023;2023-24;4560;308.4;490;26.9;31;495;107800;0.168;59100;92;40.1;0.93;447;7;0.93;1.71;0.644;1.13;0.381;0.835;89.6;8.425077903;5.731397642;6.194405391;0.14;-0.813914274;15
151;Kolhapur;2014;2014-15;5210;199.2;1450;24.5;9;340;134200;0.368;54100;55;25.6;1.08;1320;12;1.52;0.66;0.938;1.42;0.485;0.485;145.2;8.558335135;5.294309345;7.279318835;-0.18;-0.728932401;16
152;Kolhapur;2015;2015-16;5040;195.4;1180;24.7;14;325;126500;0.342;55200;61;27.2;1.04;1319;12;1.55;0.65;0.941;1.38;0.492;0.512;132.8;8.525161361;5.27504874;7.073269717;0.02;-1.595944509;16
153;Kolhapur;2016;2016-17;6310;204.6;1820;25.1;6;380;141800;0.385;59600;58;28.6;1.01;1315;12;1.58;0.64;0.943;1.45;0.478;0.468;156.4;8.749890956;5.321056854;7.50659178;0.42;0.459195301;16
154;Kolhapur;2017;2017-18;6190;201.2;1610;24.6;8;395;138200;0.381;63100;63;30.1;1.2;1312;12;1.63;0.63;0.946;1.44;0.474;0.472;163.8;8.730690366;5.304299438;7.383989458;-0.08;-0.215147449;16
155;Kolhapur;2018;2018-19;6730;202.4;1390;24.8;9;410;142400;0.394;67400;68;31.8;1.16;1310;12;1.69;0.62;0.948;1.41;0.482;0.498;169.2;8.814330423;5.310245937;7.237059026;0.12;-0.921601758;16
156;Kolhapur;2019;2019-20;6480;203.1;2210;24.9;4;420;144800;0.402;71500;73;33.5;1.12;1308;12;1.74;0.6;0.951;1.48;0.468;0.445;186.4;8.776475789;5.313698469;7.700747795;0.22;1.711546123;16
157;Kolhapur;2020;2020-21;6810;205.8;1980;24.3;5;445;152100;0.415;76200;30;28.8;0.98;1305;12;1.78;0.59;0.953;1.46;0.472;0.454;194.5;8.826147399;5.326904823;7.590852124;-0.38;0.972980254;16
158;Kolhapur;2021;2021-22;7080;206.4;1890;24.5;7;428;147400;0.408;81900;41;34.9;0.93;1305;12;1.82;0.58;0.956;1.45;0.475;0.461;206.2;8.865029187;5.329816034;7.544332108;-0.18;0.683976218;16
159;Kolhapur;2022;2022-23;7420;208.9;1760;24.6;6;398;153900;0.421;86800;77;38.2;1.24;1308;12;1.9;0.57;0.958;1.49;0.466;0.432;225.4;8.911934336;5.341855669;7.473069088;-0.08;0.266525944;16
160;Kolhapur;2023;2023-24;7650;210.2;1480;24.8;12;410;156200;0.424;91600;84;40.6;1.19;1312;12;1.97;0.55;0.961;1.42;0.481;0.485;204.5;8.942460927;5.348059458;7.299797367;0.12;-0.632597723;16
161;Latur;2014;2014-15;3210;292.1;640;26.7;23;380;96400;0.138;32800;53;22.8;0.8;510;10;0.81;1.64;0.668;1.21;0.312;0.795;74.2;8.074026216;5.677096209;6.461468176;-0.26;-0.473417906;17
162;Latur;2015;2015-16;2450;240.6;440;27;32;310;81200;0.105;30500;68;25.1;0.76;508;10;0.83;1.61;0.674;1.12;0.322;0.848;60.5;7.803843304;5.483135804;6.086774727;0.04;-1.656962671;17
163;Latur;2016;2016-17;4180;332.4;820;27.5;16;465;108500;0.162;36400;56;25.8;0.73;506;10;0.85;1.59;0.679;1.25;0.305;0.772;83.1;8.338066526;5.806339063;6.70930434;0.54;0.591772382;17
164;Latur;2017;2017-18;3990;289.1;710;26.8;19;440;102400;0.151;38500;62;27.2;0.91;502;10;0.89;1.56;0.685;1.23;0.301;0.778;86.4;8.29154651;5.666772649;6.56526497;-0.16;-0.059177238;17
165;Latur;2018;2018-19;4460;315.2;540;27.1;24;468;106800;0.164;41200;68;28.8;0.87;500;10;0.92;1.53;0.691;1.15;0.318;0.83;88;8.402904045;5.753207358;6.29156914;0.14;-1.065190288;17
166;Latur;2019;2019-20;4080;320.6;980;27.2;11;482;108500;0.171;43800;73;30.4;0.84;497;10;0.95;1.5;0.696;1.29;0.29;0.738;98.1;8.313852267;5.77019424;6.887552572;0.24;1.538608194;17
167;Latur;2020;2020-21;4520;332.4;890;26.5;13;514;116400;0.186;46700;28;26.1;0.72;495;10;0.98;1.48;0.702;1.27;0.294;0.751;102.5;8.416267273;5.806339063;6.791221463;-0.46;1.00601305;17
168;Latur;2021;2021-22;4680;327.1;820;26.8;17;494;111200;0.178;50200;39;31.7;0.67;494;10;1.01;1.45;0.707;1.25;0.298;0.76;108.1;8.451053389;5.790265935;6.70930434;-0.16;0.591772382;17
169;Latur;2022;2022-23;4920;338.5;780;26.9;15;460;117500;0.192;53400;77;34.6;0.95;495;10;1.05;1.43;0.713;1.3;0.285;0.724;118.4;8.501063809;5.824524092;6.65929392;-0.06;0.355063429;17
170;Latur;2023;2023-24;5070;333.2;580;27.1;28;472;119400;0.185;56400;86;37;0.9;497;10;1.09;1.41;0.718;1.17;0.314;0.821;96.2;8.531096097;5.80874291;6.363028104;0.14;-0.828481335;17
171;Nagpur;2014;2014-15;3540;212.4;920;26.7;15;310;82100;0.192;34800;51;21.4;0.98;485;13;1.15;1.32;0.756;1.26;0.326;0.728;NA;8.171882006;5.358471289;6.82437367;-0.26;-0.469672173;18
172;Nagpur;2015;2015-16;3180;198.6;690;27;22;280;74500;0.171;33200;58;23;0.94;482;13;1.18;1.3;0.761;1.21;0.332;0.762;NA;8.064636476;5.291292752;6.536691598;0.04;-1.711334238;18
173;Nagpur;2016;2016-17;4490;231.5;1120;27.5;10;360;89400;0.214;38600;54;24.2;0.91;480;13;1.2;1.28;0.765;1.3;0.321;0.704;NA;8.409607981;5.444579874;7.021083964;0.54;0.610033971;18
174;Nagpur;2017;2017-18;4320;214.2;980;26.8;13;352;86200;0.205;40900;58;25.5;1.11;478;13;1.25;1.26;0.77;1.29;0.316;0.71;NA;8.371010681;5.366910158;6.887552572;-0.16;-0.145760329;18
175;Nagpur;2018;2018-19;4760;224.8;840;27.1;16;370;89800;0.218;43600;63;26.9;1.07;475;13;1.3;1.24;0.775;1.24;0.329;0.746;NA;8.468002947;5.415211118;6.733401892;0.14;-0.90155463;18
176;Nagpur;2019;2019-20;4420;227.1;1310;27.2;7;382;91200;0.224;46200;68;28.4;1.03;472;13;1.34;1.21;0.78;1.34;0.31;0.675;NA;8.393894975;5.425390449;7.177782416;0.24;1.635754808;18
177;Nagpur;2020;2020-21;4820;232.5;1190;26.5;9;406;96800;0.238;49300;27;24.4;0.89;470;13;1.38;1.19;0.785;1.32;0.312;0.689;NA;8.480529207;5.448890225;7.081708586;-0.46;0.987931122;18
178;Nagpur;2021;2021-22;4990;230.4;1110;26.8;11;390;93200;0.231;52900;37;29.6;0.84;470;13;1.41;1.17;0.79;1.31;0.315;0.696;NA;8.515191189;5.439816929;7.012115294;-0.16;0.556048664;18
179;Nagpur;2022;2022-23;5240;236.2;1050;26.9;9;364;98100;0.246;56100;72;32.4;1.15;471;13;1.47;1.16;0.794;1.35;0.306;0.668;NA;8.564076777;5.464678904;6.956545443;-0.06;0.232136821;18
180;Nagpur;2023;2023-24;5400;233.5;860;27.1;19;374;99600;0.242;59200;79;34.6;1.1;473;13;1.52;1.14;0.799;1.26;0.324;0.735;NA;8.594154233;5.453182077;6.756932389;0.14;-0.793584016;18
181;Nanded;2014;2014-15;4250;318.6;740;27.3;20;495;122500;0.154;35200;51;21.2;0.83;745;12;0.84;1.42;0.724;1.26;0.338;0.772;78.8;8.354674262;5.763936397;6.606650186;-0.26;-0.57220654;19
182;Nanded;2015;2015-16;3380;285.1;510;27.6;29;410;104200;0.125;33100;65;23.4;0.79;742;12;0.86;1.39;0.729;1.19;0.346;0.818;65.4;8.125630988;5.652839996;6.234410726;0.04;-1.768638397;19
183;Nanded;2016;2016-17;5610;358.2;940;28.1;13;590;136400;0.176;39400;54;24;0.75;740;12;0.88;1.38;0.734;1.3;0.331;0.751;86.2;8.632305999;5.88109149;6.845879875;0.54;0.468168987;19
184;Nanded;2017;2017-18;5390;321.4;820;27.4;17;582;129500;0.168;41500;59;25.3;0.94;738;12;0.92;1.35;0.739;1.28;0.325;0.756;89.8;8.592300664;5.772686453;6.70930434;-0.16;-0.156056329;19
185;Nanded;2018;2018-19;5980;345.8;680;27.7;21;614;135200;0.181;44200;65;26.7;0.9;735;12;0.95;1.33;0.744;1.22;0.34;0.798;91.4;8.696175847;5.845860573;6.522092798;0.14;-0.884319199;19
186;Nanded;2019;2019-20;5510;351.4;1140;27.8;9;632;137600;0.188;46800;70;28.2;0.86;732;12;0.98;1.3;0.749;1.34;0.318;0.714;101.8;8.614319902;5.861925176;7.038783541;0.24;1.508544515;19
187;Nanded;2020;2020-21;6080;362.8;1050;27.1;11;674;146200;0.201;49800;27;24.2;0.74;730;12;1.01;1.28;0.754;1.32;0.322;0.728;106.2;8.712759975;5.893851718;6.956545443;-0.46;1.040375528;19
188;Nanded;2021;2021-22;6290;358.1;980;27.4;15;648;140400;0.194;53600;38;29.3;0.69;730;12;1.04;1.26;0.759;1.31;0.326;0.735;112.4;8.74671635;5.880812277;6.887552572;-0.16;0.676244093;19
189;Nanded;2022;2022-23;6610;368.4;930;27.5;13;604;148100;0.208;56900;74;32.1;0.97;731;12;1.08;1.24;0.764;1.35;0.315;0.704;123.1;8.796338933;5.909169304;6.835184586;-0.06;0.416150211;19
190;Nanded;2023;2023-24;6810;362.5;710;27.7;25;621;150400;0.202;60200;83;34.3;0.92;734;12;1.12;1.22;0.769;1.24;0.336;0.782;103.4;8.826147399;5.893024474;6.56526497;0.14;-0.728262869;19
191;Nandurbar;2014;2014-15;1610;168.2;680;26.2;20;145;44100;0.121;21500;41;14.8;1.04;168;5;0.44;1.88;0.605;1.16;0.345;0.825;65.4;7.383989458;5.125153748;6.522092798;-0.21;-0.634038212;20
192;Nandurbar;2015;2015-16;1420;159.4;540;26.5;28;132;40500;0.108;21900;48;15.9;1.01;168;5;0.45;1.85;0.611;1.12;0.352;0.848;58.1;7.258412151;5.071416766;6.29156914;0.09;-1.568410314;20
193;Nandurbar;2016;2016-17;2050;184.6;850;26.8;14;168;47200;0.132;23400;44;16.6;0.97;167;5;0.46;1.83;0.616;1.18;0.342;0.812;70.8;7.625595072;5.218191322;6.745236349;0.39;0.500556483;20
194;Nandurbar;2017;2017-18;1980;173.2;740;26.3;18;155;45100;0.126;24800;47;17.5;1.18;167;5;0.49;1.8;0.622;1.17;0.338;0.816;73.2;7.590852124;5.154446996;6.606650186;-0.11;-0.233593025;20
195;Nandurbar;2018;2018-19;2190;182.1;620;26.5;21;162;46800;0.135;26100;51;18.4;1.14;165;5;0.51;1.77;0.627;1.13;0.348;0.839;75.1;7.691656823;5.204555987;6.429719478;0.09;-1.034483399;20
196;Nandurbar;2019;2019-20;2050;185.3;1040;26.7;10;166;47500;0.139;27600;55;19.5;1.1;164;5;0.53;1.74;0.633;1.22;0.334;0.79;82.6;7.625595072;5.221976133;6.946975992;0.29;1.768632907;20
197;Nandurbar;2020;2020-21;2210;190.2;920;26;12;174;49800;0.145;29100;25;16.8;0.96;162;5;0.55;1.71;0.638;1.19;0.336;0.801;86.4;7.700747795;5.24807615;6.82437367;-0.41;0.967742534;20
198;Nandurbar;2021;2021-22;2290;192.4;860;26.2;16;168;48200;0.141;31200;34;20.2;0.9;162;5;0.57;1.69;0.643;1.18;0.34;0.808;91.5;7.736307097;5.259576538;6.756932389;-0.21;0.567297348;20
199;Nandurbar;2022;2022-23;2410;196.5;810;26.3;14;156;50400;0.148;33100;59;22.1;1.24;163;5;0.6;1.66;0.649;1.22;0.331;0.784;99.2;7.787382026;5.280662431;6.697034248;-0.11;0.233593025;20
200;Nandurbar;2023;2023-24;2480;199.1;690;26.6;25;160;51200;0.151;34900;64;23.5;1.19;164;5;0.63;1.64;0.654;1.14;0.349;0.842;84.8;7.816013839;5.293807211;6.536691598;0.19;-0.567297348;20
201;Nashik;2014;2014-15;6510;392.1;820;25.1;19;695;185400;0.242;62400;68;34.2;0.82;1120;15;1.12;1.34;0.765;1.28;0.224;0.732;108.2;8.781094735;5.971516909;6.70930434;-0.17;-0.562481842;21
202;Nashik;2015;2015-16;5920;374.5;610;25.3;26;640;171200;0.221;64500;74;36.5;0.79;1118;15;1.14;1.32;0.77;1.22;0.228;0.758;98.4;8.686091728;5.925591803;6.413458957;0.03;-1.636310812;21
203;Nashik;2016;2016-17;8240;415.2;1020;25.6;12;785;194500;0.258;69200;76;38.4;0.76;1115;15;1.16;1.31;0.774;1.3;0.221;0.714;114.5;9.016755623;6.028760332;6.927557906;0.33;0.460212416;21
204;Nashik;2017;2017-18;8110;398.4;890;25.2;15;810;191200;0.252;73800;82;40.5;0.94;1112;15;1.2;1.28;0.779;1.29;0.218;0.718;118.6;9.000853147;5.987456526;6.791221463;-0.07;-0.204538852;21
205;Nashik;2018;2018-19;8920;412.3;740;25.4;18;834;198600;0.264;78400;88;42.8;0.91;1110;15;1.24;1.26;0.784;1.24;0.225;0.745;122.4;9.096051226;6.02175124;6.606650186;0.13;-0.971559545;21
206;Nashik;2019;2019-20;8650;416.8;1280;25.5;9;860;201400;0.271;83100;94;45.2;0.88;1108;15;1.27;1.24;0.788;1.34;0.214;0.692;134.1;9.0653146;6.03260649;7.154615357;0.23;1.789714951;21
207;Nashik;2020;2020-21;9120;424.1;1110;24.9;11;915;212500;0.285;88200;38;38.6;0.76;1105;15;1.3;1.22;0.793;1.32;0.216;0.704;140.5;9.118225083;6.049969276;7.012115294;-0.37;0.920424832;21
208;Nashik;2021;2021-22;9480;428.5;1040;25.1;14;885;206400;0.278;94500;52;46.8;0.71;1105;15;1.33;1.2;0.797;1.31;0.219;0.712;148.6;9.156939595;6.060290738;6.946975992;-0.17;0.562481842;21
209;Nashik;2022;2022-23;9920;435.2;980;25.2;12;824;215200;0.291;99800;98;51.2;0.99;1106;15;1.38;1.19;0.802;1.35;0.212;0.685;161.4;9.2023082;6.075805696;6.887552572;-0.07;0.255673564;21
210;Nashik;2023;2023-24;10210;440.6;810;25.4;22;845;218400;0.294;105400;104;54.4;0.95;1108;15;1.43;1.16;0.806;1.25;0.228;0.754;143.2;9.231122911;6.088137434;6.697034248;0.13;-0.613616555;21
211;Parbhani;2014;2014-15;2810;226.4;610;27.1;23;360;84500;0.128;31800;48;19.5;0.76;415;8;0.66;1.98;0.586;1.18;0.392;0.828;68.5;7.940939762;5.422303346;6.413458957;-0.26;-0.484491399;22
212;Parbhani;2015;2015-16;2190;189.2;420;27.4;33;280;69200;0.098;29400;62;21.4;0.73;415;8;0.67;1.95;0.592;1.1;0.401;0.875;54.1;7.691656823;5.242804657;6.040254711;0.04;-1.649723876;22
213;Parbhani;2016;2016-17;3680;251.3;790;27.9;15;445;92600;0.149;35400;51;22.1;0.69;412;8;0.69;1.93;0.597;1.22;0.385;0.805;75.8;8.210668031;5.526647445;6.672032945;0.54;0.619413054;22
214;Parbhani;2017;2017-18;3490;218.4;680;27.2;20;420;86500;0.136;37200;56;23.3;0.88;410;8;0.72;1.9;0.603;1.2;0.378;0.81;79;8.157657015;5.386328244;6.522092798;-0.16;-0.055195223;22
215;Parbhani;2018;2018-19;3890;235.6;510;27.5;25;438;91200;0.148;39600;62;24.6;0.84;408;8;0.75;1.87;0.609;1.13;0.395;0.862;80.4;8.266164437;5.462135452;6.234410726;0.14;-1.09777165;22
216;Parbhani;2019;2019-20;3550;239.2;940;27.6;11;450;92600;0.154;42100;67;26;0.81;405;8;0.77;1.84;0.614;1.25;0.368;0.774;89.5;8.174702882;5.477300022;6.845879875;0.24;1.539333431;22
217;Parbhani;2020;2020-21;3940;248.5;850;26.9;13;482;99200;0.168;44800;25;22.4;0.69;402;8;0.79;1.82;0.62;1.23;0.372;0.785;93.4;8.278936002;5.515442846;6.745236349;-0.46;0.987381205;22
218;Parbhani;2021;2021-22;4090;242.1;790;27.2;18;462;94500;0.159;48100;36;27.1;0.64;402;8;0.81;1.79;0.625;1.22;0.376;0.793;98.5;8.316300249;5.489350864;6.672032945;-0.16;0.619413054;22
219;Parbhani;2022;2022-23;4290;252.4;740;27.3;15;430;100200;0.172;51200;71;29.6;0.91;403;8;0.85;1.77;0.631;1.26;0.365;0.761;107.6;8.364042012;5.531015131;6.606650186;-0.06;0.312772928;22
220;Parbhani;2023;2023-24;4420;246.1;560;27.5;29;442;101900;0.165;54100;81;31.6;0.86;405;8;0.88;1.74;0.636;1.14;0.388;0.848;86.8;8.393894975;5.505737957;6.327936784;0.14;-0.791131524;22
221;Pune;2014;2014-15;6190;290.5;740;24.8;16;410;124500;0.325;52400;75;38.5;0.92;1280;13;1.35;1.12;0.821;1.3;0.265;0.628;135.6;8.730690366;5.671603576;6.606650186;-0.19;-0.681338642;23
222;Pune;2015;2015-16;5850;265.1;580;25;24;385;115200;0.298;53100;82;41.2;0.89;1278;13;1.38;1.1;0.825;1.24;0.271;0.664;124.1;8.67419694;5.580107113;6.363028104;0.01;-1.574897517;23
223;Pune;2016;2016-17;7620;312.4;910;25.4;11;480;132400;0.346;58200;78;43.1;0.85;1274;13;1.41;1.09;0.829;1.34;0.259;0.602;148.2;8.938531649;5.744284418;6.8134446;0.41;0.268067663;23
224;Pune;2017;2017-18;7490;276.8;820;24.9;14;492;128600;0.338;61400;84;45.4;1.04;1270;13;1.45;1.06;0.834;1.32;0.255;0.608;155.4;8.921324077;5.623295224;6.70930434;-0.09;-0.234559205;23
225;Pune;2018;2018-19;8110;285.4;690;25.1;17;512;133200;0.352;65200;91;47.9;1;1268;13;1.5;1.04;0.838;1.27;0.262;0.646;161;9.000853147;5.653891705;6.536691598;0.11;-0.960575791;23
226;Pune;2019;2019-20;7850;288.1;1180;25.3;8;535;135400;0.361;69100;98;50.5;0.96;1265;13;1.55;1.02;0.843;1.38;0.248;0.572;177.4;8.968268811;5.663307642;7.073269717;0.31;1.775948264;23
227;Pune;2020;2020-21;8240;294.5;1040;24.6;10;568;142800;0.378;73500;41;43.4;0.83;1262;13;1.59;1;0.847;1.36;0.25;0.584;185.4;9.016755623;5.685279003;6.946975992;-0.39;0.994084249;23
228;Pune;2021;2021-22;8560;291.2;980;24.8;12;545;138100;0.369;78900;58;52.6;0.78;1262;13;1.63;0.98;0.852;1.35;0.253;0.591;196.5;9.054855469;5.674010316;6.887552572;-0.19;0.65899967;23
229;Pune;2022;2022-23;8980;298.4;920;24.9;11;508;144200;0.384;83400;102;57.5;1.08;1265;13;1.7;0.97;0.856;1.39;0.245;0.561;215.2;9.102755161;5.698434868;6.82437367;-0.09;0.323915092;23
230;Pune;2023;2023-24;9240;293.6;760;25.1;20;522;146500;0.376;88200;111;61.2;1.03;1269;13;1.76;0.95;0.861;1.29;0.261;0.638;189.6;9.131297165;5.682218297;6.633318433;0.11;-0.569643783;23
231;Raigad;2014;2014-15;1070;102.5;2410;26.8;7;102;28100;0.051;21800;28;11.2;1.25;563;5;0.95;0.73;0.912;1.03;0.812;0.948;61.2;6.975413927;4.629862799;7.787382026;-0.19;-1.025381759;24
232;Raigad;2015;2015-16;1110;95.4;2120;27;11;94;26800;0.048;22400;29;11.8;1.22;558;5;0.96;0.72;0.915;1.02;0.815;0.952;64.2;7.012115294;4.558078578;7.659171368;0.01;-1.580159203;24
233;Raigad;2016;2016-17;1250;104.1;3150;27.4;4;110;29100;0.054;23900;31;12.4;1.19;552;5;0.98;0.71;0.918;1.04;0.808;0.945;68.4;7.13089883;4.645351976;8.055157732;0.41;0.390257237;24
234;Raigad;2017;2017-18;1210;97.2;2810;26.9;6;105;28400;0.052;25100;34;13.1;1.34;545;5;1.02;0.69;0.922;1.04;0.804;0.943;71.2;7.098375639;4.576770711;7.940939762;-0.09;-0.260171491;24
235;Raigad;2018;2018-19;1320;98.6;2490;27.1;8;104;29200;0.055;26400;36;13.8;1.31;132;5;1.05;0.68;0.925;1.03;0.807;0.95;74.5;7.185387016;4.591071262;7.820037989;0.11;-0.872339706;24
